https://www.giantbomb.com/api/game/3030-40622/,Mahjong Shanghai,3010-19,SUNSOFT
https://www.giantbomb.com/api/game/3030-17602/,Gish,3010-22,Halycon Media GmbH & Co. KG
https://www.giantbomb.com/api/game/3030-15231/,Shredder 6,3010-23,ChessBase GmbH
https://www.giantbomb.com/api/game/3030-49612/,Brink of Consciousness: Lonely Hearts Murders,3010-24,"Viva Media, LLC"
https://www.giantbomb.com/api/game/3030-47174/,Total Pro Golf 3,3010-24,"Viva Media, LLC"
https://www.giantbomb.com/api/game/3030-49575/,Space Legends: At the Edge of the Universe,3010-24,"Viva Media, LLC"
https://www.giantbomb.com/api/game/3030-49547/,Nearwood,3010-24,"Viva Media, LLC"
https://www.giantbomb.com/api/game/3030-13506/,ER,3010-25,Mindscape Entertainment
https://www.giantbomb.com/api/game/3030-10/,The Real Deal 2,3010-25,Mindscape Entertainment
https://www.giantbomb.com/api/game/3030-11592/,Soul Fighter,3010-25,Mindscape Entertainment
https://www.giantbomb.com/api/game/3030-3877/,Allied General,3010-25,Mindscape Entertainment
https://www.giantbomb.com/api/game/3030-11/,Gothmog's Lair,3010-27,Progressive Peripherals and Software
https://www.giantbomb.com/api/game/3030-12100/,Gangland,3010-28,Whiptail Interactive
https://www.giantbomb.com/api/game/3030-12/,Blade & Sword,3010-28,Whiptail Interactive
https://www.giantbomb.com/api/game/3030-4114/,Desperados 2: Cooper's Revenge,3010-30,Akella
https://www.giantbomb.com/api/game/3030-2415/,RollerCoaster Tycoon 2: Time Twister,3010-30,Akella
https://www.giantbomb.com/api/game/3030-48738/,Tanita: A Plasticine Dream,3010-30,Akella
https://www.giantbomb.com/api/game/3030-21130/,Disciples III: Renaissance,3010-30,Akella
https://www.giantbomb.com/api/game/3030-61012/,ExcaliBug,3010-31,Dinamic Multimedia
https://www.giantbomb.com/api/game/3030-10742/,M: Alien Paranoia,3010-31,Dinamic Multimedia
